product_url,product_name,product_img
https://www.phonedepot.co.il/product-page/pd-25w-%D7%9E%D7%98%D7%A2%D7%9F-%D7%A8%D7%9B%D7%91-%D7%98%D7%A2%D7%99%D7%A0%D7%94-%D7%9E%D7%94%D7%99%D7%A8%D7%94-%D7%91%D7%9E%D7%99%D7%95%D7%97%D7%93,PD 25W מטען רכב טעינה מהירה במיוחד,https://static.wixstatic.com/media/bbb777_752344ba2ab9482db8589dc2d693dada~mv2.jpg
https://www.phonedepot.co.il/product-page/pd38w-%D7%9E%D7%98%D7%A2%D7%9F-%D7%A8%D7%9B%D7%91-%D7%9E%D7%94%D7%99%D7%A8,PD38W מטען רכב מהיר,https://static.wixstatic.com/media/bbb777_b25a900afb7241ec959c455d1e01d580~mv2.jpg
https://www.phonedepot.co.il/product-page/pd38w-%D7%9E%D7%98%D7%A2%D7%9F-%D7%A8%D7%9B%D7%91-%D7%9E%D7%94%D7%99%D7%A8-%D7%A2%D7%9D-%D7%9B%D7%91%D7%9C-%D7%98%D7%99%D7%99%D7%A4-%D7%A1%D7%99-%D7%9C%D7%90%D7%99%D7%99%D7%A4%D7%95%D7%9F,PD38W  מטען רכב מהיר עם כבל טייפ-סי לאייפון,https://static.wixstatic.com/media/bbb777_89c0caddc44c463fb60cbe40f7182ed8~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9E%D7%98%D7%A2%D7%9F-%D7%A4%D7%A8%D7%99%D7%9E%D7%99%D7%95%D7%9D-%D7%9C%D7%A8%D7%9B%D7%91-2-1-%D7%90%D7%9E%D7%A4%D7%A8,מטען פרימיום לרכב 2.1 אמפר,https://static.wixstatic.com/media/bbb777_e88522371f9d4e4e94fe5bda6c83d490~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9E%D7%98%D7%A2%D7%9F-%D7%A4%D7%A8%D7%99%D7%9E%D7%99%D7%95%D7%9D-%D7%9C%D7%A8%D7%9B%D7%91-2-1-%D7%90%D7%9E%D7%A4%D7%A8-%D7%9B%D7%91%D7%9C-1-%D7%9E%D7%98%D7%A8,מטען פרימיום לרכב 2.1 אמפר+ כבל 1 מטר,https://static.wixstatic.com/media/bbb777_3b1249c5afd9434c9179b29e21444295~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9E%D7%98%D7%A2%D7%9F-%D7%90%D7%9C%D7%97%D7%95%D7%98%D7%99-%D7%9C%D7%A9%D7%A2%D7%95%D7%A0%D7%99-%D7%90%D7%A4%D7%9C,מטען אלחוטי לשעוני אפל,https://static.wixstatic.com/media/bbb777_a88b2abba3454c5fa1c1105259db28a2~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9E%D7%98%D7%A2%D7%9F-%D7%90%D7%9C%D7%97%D7%95%D7%98%D7%99-%D7%9C%D7%A9%D7%A2%D7%95%D7%A0%D7%99-%D7%A1%D7%9E%D7%A1%D7%95%D7%A0%D7%92,מטען אלחוטי לשעוני סמסונג,https://static.wixstatic.com/media/bbb777_f837ebd9bdea4dfcb653529196c53ee7~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9E%D7%A9%D7%93%D7%A8-%D7%9E%D7%A9%D7%95%D7%9C%D7%91-%D7%9E%D7%98%D7%A2%D7%9F-%D7%A8%D7%9B%D7%91,משדר משולב מטען רכב,https://static.wixstatic.com/media/bbb777_f9b79a2bf3e946f0935a0d01992785fe~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9E%D7%98%D7%A2%D7%9F-%D7%90%D7%9C%D7%97%D7%95%D7%98%D7%99-3-%D7%91-1,מטען אלחוטי 3 ב-1,https://static.wixstatic.com/media/bbb777_2bad79b7160d4eaba48c18072253db3c~mv2.jpg
https://www.phonedepot.co.il/product-page/20000mah-pd-20w-%D7%A1%D7%95%D7%9C%D7%9C%D7%AA-%D7%92%D7%99%D7%91%D7%95%D7%99,20000mAH PD 20W סוללת גיבוי,https://static.wixstatic.com/media/bbb777_5e7b2afb616d4b459c6d62201e461c60~mv2.jpg
