product_url,product_name,prosuct_description,product_SKU,product_price,product_img,technical_data
https://www.ledico.com/product/%d7%9e%d7%9c%d7%98%d7%a9%d7%aa-%d7%a8%d7%95%d7%98%d7%98%d7%aa-%d7%91%d7%95%d7%a9-bosch-gss-160/,מלטשת רוטטת בוש BOSCH GSS 160,"<div class=""woocommerce-product-details__short-description"">
	<p>מערכת מיקרופילטר לפינוי אבק כולל 6 ניירות ליטוש</p>
</div>",12A2.300,862.00,https://www.ledico.com/wp-content/uploads/2019/01/12A2.300-1.png,"{'וואט': '180W', 'מהירות': '12000 סל""ד', 'פעימות לדקה': '24000', 'מידות': 'שטח בסיס דלתא: 100X150 מ”מ, מלבן:101X113 מ”מ, ריבוע:80X130 מ”מ', 'משקל': '1.2 ק""ג', 'הערות': 'במזוודת L-BOXX, החלפת נייר מהירה, ידית אחיזה רכה'}"
https://www.ledico.com/product/%d7%9e%d7%9c%d7%98%d7%a9%d7%aa-%d7%90%d7%a7%d7%a6%d7%a0%d7%98%d7%a8%d7%99%d7%aa-%d7%91%d7%95%d7%a9-bosch-pex-300ae/,מלטשת אקצנטרית בוש BOSCH PEX 300AE,"<div class=""woocommerce-product-details__short-description"">
	<p><b>מיקרופילטר לשמירה על סביבת עבודה נקיה</b></p>
<p><b>ידית גומי לאחיזה נוחה ביד </b><b>אחת</b></p>
</div>",33A3,479.00,https://www.ledico.com/wp-content/uploads/2022/05/1.png,"{'וואט': '270W', 'מהירות': '4,000-24,000 סל""ד', 'משקל': '1.5 ק""ג', 'קוטר קידוח': '125 מ""מ'}"
https://www.ledico.com/product/%d7%a4%d7%98%d7%99%d7%a9%d7%95%d7%9f-%d7%a0%d7%98%d7%a2%d7%9f-%d7%91%d7%95%d7%a9-bosch-gbh-180-li-3/,פטישון נטען בוש BOSCH GBH 180-LI,"<div class=""woocommerce-product-details__short-description"">
	<p>פטישון נטען 18v, מנוע ללא פחמים, מהיר במיוחד וקל משקל<br>
כולל 2 סוללות 4Ah + מטען ומזוודה</p>
</div>",11911.121,"1,717.00",https://www.ledico.com/wp-content/uploads/2020/11/1191.121-Ledico.jpg,"{'מהירות': '0-1800 סל""ד', 'עוצמת הלימה': '2J', 'פעימות לדקה': '0-5100 פל""ד', 'כושר קידוח': 'בעץ - 30 מ""מ, בבטון - 20 מ""מ, במתכת - 13 מ""מ', 'משקל': '2.6 ק""ג'}"
https://www.ledico.com/product/%d7%a4%d7%98%d7%99%d7%a9%d7%95%d7%9f-%d7%a0%d7%98%d7%a2%d7%9f-%d7%91%d7%95%d7%a9-bosch-gbh-18v-26/,פטישון נטען בוש BOSCH GBH 18V-26F,"<div class=""woocommerce-product-details__short-description"">
	<p>פטישון נטען עם Kick Back Control ושואב אבק מובנה</p>
<p>מערכת ECP לשליטה טובה בקידוח</p>
</div>",11910.005,"4,749.00",https://www.ledico.com/wp-content/uploads/2018/12/11910.005-Ledico.png,"{'מהירות': '980 סל""ד', 'פעימות': '4350 פל""ד', 'עוצמת הלימה': '2.6J', 'משקל': '3.6 ק""ג', 'הערות': 'כולל 2 סוללות 6Ah + שואב אבק עם פוטר מתחלף במזוודה'}"
https://www.ledico.com/product/%d7%a4%d7%98%d7%99%d7%a9%d7%95%d7%9f-%d7%a0%d7%98%d7%a2%d7%9f-%d7%91%d7%95%d7%a9-bosch-gbh-18v-26f/,פטישון נטען בוש BOSCH GBH 18V-26F,"<div class=""woocommerce-product-details__short-description"">
	<p>פטישון נטען עם Kick Back Control ומערכת ECP לשליטה טובה בקידוח<br>
כולל 2 סוללות 6Ah + פוטר מתחלף במזוודה</p>
</div>",11910.003,"3,636.00",https://www.ledico.com/wp-content/uploads/2022/03/11910.003-Ledico.png,"{'מהירות': '980 סל""ד', 'פעימות': '4350 פל""ד', 'עוצמת הלימה': '2.6J', 'משקל': '3.6 ק""ג'}"
https://www.ledico.com/product/gbh-185-li-bosch-%d7%a4%d7%98%d7%99%d7%a9%d7%95%d7%9f-%d7%a0%d7%98%d7%a2%d7%9f-%d7%91%d7%95%d7%a9/,פטישון נטען בוש GBH 185-LI BOSCH,"<div class=""woocommerce-product-details__short-description"">
	<p>קומפקטי, יעילות עבודה מרבית אודות למנוע עוצמתי ללא פחמים ומערכת שמירת מהירות אלקטרונית, הגנת תגובת רתע , ידית בולמת זעזועים ותאורת לד</p>
<p>*גוף בלבד</p>
</div>",11924.020,891.00,https://www.ledico.com/wp-content/uploads/2023/11/11924.020-Ledico.png,"{':מהירות': '0-1050 סל\\\\\\\\\\\\\\""ד', ':עוצמת הלימה': '1.9J', ':כושר קידוח': 'בטון- 22 מ\\\\\\\\\\\\\\""מ\nעץ- 20 מ\\\\\\\\\\\\\\""מ\nמתכת- 13 מ\\\\\\\\\\\\\\""מ\nמשקל ללא סוללה- 2.3 ק\\\\\\\\\\\\\\""ג', ':פעימות לשקה': '0-4675'}"
https://www.ledico.com/product/%d7%a4%d7%98%d7%99%d7%a9%d7%95%d7%9f-%d7%a0%d7%98%d7%a2%d7%9f-%d7%91%d7%95%d7%a9-gbh-187-li-bosch/,פטישון נטען בוש  GBH 187-LI BOSCH ONE CHUCK,"<div class=""woocommerce-product-details__short-description"">
	<p><b>חידוש עולמי – </b><b>תפסנית</b><b> אחת למקדחי </b><b>SDS PLUS</b><b> ומקדחים עם קנה ישר/משושה , ללא צורך בהחלפת הראש</b></p>
<p><b>יעילות עבודה מרבית אודות למנוע עוצמתי ללא פחמים ומערכת שמירת מהירות אלקטרונית</b></p>
<p><b>הגנת תגובת רתע </b><b>, </b><b>ידית בולמת זעזועים, תאורת לד</b></p>
<p><b>אפשרות לחיבור אביזר שאיבת אבק </b><b>GDE 18V-16 </b></p>
</div>",11923.120,"1,345.00",https://www.ledico.com/wp-content/uploads/2023/08/11923.120_N-Ledico.png,"{'מתח:': '18V', 'מהירות:': '0-980 סל""ד', 'עוצמת הלימה': '2.4J', 'פעימות לדקה': '0-4350 סל""ד', 'משקל ללא סוללה': '2.9 ק""ג'}"
https://www.ledico.com/product/%d7%a4%d7%98%d7%99%d7%a9%d7%95%d7%9f-%d7%a0%d7%98%d7%a2%d7%9f-%d7%91%d7%95%d7%a9-gbh-187-li-bosch-2/,פטישון נטען בוש  GBH 187-LI BOSCH,"<div class=""woocommerce-product-details__short-description"">
	<p><b>יעילות עבודה מרבית אודות למנוע עוצמתי ללא פחמים ומערכת שמירת מהירות אלקטרונית</b></p>
<p><b>הגנת תגובת רתע </b><b>, </b><b>ידית בולמת זעזועים</b></p>
<p><b>תאורת לד</b></p>
<p><b>אפשרות לחיבור אביזר שאיבת אבק </b><b>GDE 18V-16 </b></p>
</div>",11923.020,"1,198.00",https://www.ledico.com/wp-content/uploads/2023/08/11923.120-Ledico.png,"{'מהירות:': '0-980 סל\\\\\\\\\\\\\\""ד', 'עוצמת הלימה:': '2.4', 'פעימות לדקה:': '0-4350 סל\\\\\\\\\\\\\\""ד', 'משקל ללא סוללה:': '2.9 ק\\\\\\\\\\\\\\""ג'}"
https://www.ledico.com/product/%d7%a4%d7%98%d7%99%d7%a9-%d7%97%d7%a6%d7%99%d7%91%d7%94-%d7%91%d7%95%d7%a9-bosch-gsh-500/,פטיש חציבה בוש BOSCH GSH 500,"<div class=""woocommerce-product-details__short-description"">
	<p>מהיר ואמין במיוחד בעבודות ממושכות</p>
<p>עיצוב ארגונומי משופר</p>
</div>",11338,"1,585.00",https://www.ledico.com/wp-content/uploads/2021/01/11338-Ledico.png,"{'הספק': '1100W', 'עוצמת הלימה': '7.8J', 'מהירות רטיטה': '2900 פל""ד', 'כיוון מצבי איזמל': '12', 'משקל': '5.7 ק""ג'}"
https://www.ledico.com/product/%d7%a4%d7%98%d7%99%d7%a9-%d7%97%d7%a6%d7%99%d7%91%d7%94-%d7%91%d7%95%d7%a9-bosch-gsh-5/,פטיש חציבה בוש BOSCH GSH 5,"<div class=""woocommerce-product-details__short-description"">
	<p>פטיש חציבה עוצמתי בעל יחס תפוקת עבודה גבוהה ביותר בעל גוף מתכתי מסיבי לאורך חיי כלי גבוהים</p>
</div>",11337,"2,055.00",https://www.ledico.com/wp-content/uploads/2019/05/11337-1.jpg,"{'פעימות לדקה': '2850 פל""ד', 'וואט': '1100W', 'עוצמת הלימה': '11.5J', 'יחס הלימה': 'יחס הלימה 2.05J/Kg', 'משקל': '5.6 ק""ג'}"
https://www.ledico.com/product/%d7%9e%d7%a1%d7%95%d7%a8-%d7%a9%d7%95%d7%9c%d7%97%d7%9f-%d7%91%d7%95%d7%a9-bosch-gts-635-216-%d7%a1%d7%98%d7%a0%d7%93-gta-560/,מסור שולחן בוש BOSCH GTS 635-216 + סטנד GTA 560,"<div class=""woocommerce-product-details__short-description"">
	<p>מסור עוצמתי, מדויק, קומפקטי ובטיחותי</p>
<p>מנוע 1600W, התנעה רכה ומפסק בטיחות</p>
</div>",1B42.001,"2,703.00",https://www.ledico.com/wp-content/uploads/2021/01/1B42.001-Ledico.png,"{'קוטר להב': '""8.5 – 216 מ""מ', 'קוטר ציר': '30 מ""מ', 'כושר ניסור גובה 90°': '70 מ""מ', 'כושר ניסור גובה 45°': '50 מ""מ', 'כושר ניסור רוחב': '635 מ""מ', 'מהירות': '5500 סל""ד', 'מידות': '658X500X332-מ""מ', 'משקל': '22 ק""ג', 'הערות': 'כולל להב optiline 22t'}"
https://www.ledico.com/product/%d7%a9%d7%95%d7%90%d7%91-%d7%90%d7%91%d7%a7-gde-18v-16/,שואב אבק GDE 18V-16,"<div class=""woocommerce-product-details__short-description"">
	<p><b>שואב אבק לפטישונים:<br>
</b><strong>מתאים לפטישון נטען: GBH 18V-26, GBH 187<br>
</strong></p>
</div>",1600A0051M,811.00,https://www.ledico.com/wp-content/uploads/2024/10/gde_18v-26-Ledico.png,{}
